Date,Open,High,Low,Close,Volume
2013-09-30,34.239,35.2,30.504,34.779,103226299
2013-10-31,34.685,39.484,34.413,38.294,84722352
2013-11-30,38.603,39.634,36.653,38.576,62848656
2013-12-31,38.585,38.885,35.828,36.953,69585447
2014-01-31,37.404,40.01,35.266,38.247,109518261
2014-02-28,38.247,41.697,37.732,41.387,69031690
2014-03-31,40.31,40.731,37.047,39.822,90173059
2014-04-30,39.653,40.638,38.481,38.903,43617742
2014-05-31,38.81,39.072,36.091,38.06,67238827
2014-06-30,38.247,38.576,34.797,35.342,72735078
2014-07-31,35.5,36.373,33.279,33.372,54506494
2014-08-31,33.653,37.46,33.054,35.857,68660419
2014-09-30,35.95,38.322,35.903,37.892,56996380
2014-10-31,37.892,38.169,33.182,35.781,65451147
2014-11-30,35.828,36.383,34.205,35.877,38001039
2014-12-31,35.638,36.766,33.44,34.166,44761602
2015-01-31,34.176,35.504,30.335,32.81,102809118
2015-02-28,32.963,33.125,30.889,31.147,57058385
2015-03-31,31.166,34.3,30.297,32.485,82757164
2015-04-30,32.198,35.102,32.074,34.492,55717923
2015-05-31,34.492,36.106,31.166,31.223,76035439
2015-06-30,31.233,32.159,27.707,29.733,63852895
2015-07-31,29.781,30.335,26.857,27.917,60544442
2015-08-31,27.841,28.549,25.252,28.415,68156448
2015-09-30,28.109,29.428,26.667,28.119,57166261
2015-10-31,28.28,30.163,26.867,27.364,78891561
2015-11-30,27.383,27.88,25.243,25.749,44873140
2015-12-31,25.72,26.561,23.447,26.112,66482674
2016-01-31,25.415,25.51,20.953,23.551,63993313
2016-02-29,23.58,24.994,22.099,23.341,51021996
2016-03-31,23.494,26.561,23.151,26.561,44850242
2016-04-30,26.37,26.408,22.949,23.37,43249677
2016-05-31,23.312,24.02,21.994,23.657,46458350
2016-06-30,23.599,24.889,20.542,22.242,67785876
2016-07-31,22.433,23.599,21.287,22.739,53992226
2016-08-31,22.931,26.485,22.711,25.386,58612149
2016-09-30,25.491,26.848,24.603,24.946,49788647
2016-10-31,24.975,26.485,23.914,26.255,31863345
2016-11-30,25.72,26.465,24.048,24.421,41282995
2016-12-31,24.383,27.183,24.01,26.886,57917154
2017-01-31,26.8,30.803,26.618,29.304,53716781
2017-02-28,29.599,33.994,29.236,31.796,59782235
2017-03-31,31.931,34.109,30.631,30.631,53131871
2017-04-30,30.784,34.492,30.297,33.717,39197695
2017-05-31,33.727,35.628,32.552,34.883,54594035
2017-06-30,34.788,35.581,32.275,32.924,40616191
2017-07-31,32.924,35.437,32.828,35.189,35969059
2017-08-31,35.16,35.781,33.097,35.045,37010432
2017-09-30,34.902,35.284,33.001,33.756,32581414
2017-10-31,34.013,37.1,33.106,37.023,40899943
2017-11-30,36.956,41.466,36.03,40.415,49906633
2017-12-31,40.176,42.737,38.743,42.335,38139520
2018-01-31,42.134,45.478,40.892,43.625,50764304
2018-02-28,43.778,44.198,40.004,41.151,39200049
2018-03-31,40.902,41.791,37.625,38.638,56643938
2018-04-30,38.524,40.529,37.176,39.976,43948056
2018-05-31,39.976,40.606,35.867,35.867,43066083
2018-06-30,35.924,38.599,34.492,35.342,45753728
2018-07-31,34.625,40.386,34.272,39.841,31836343
2018-08-31,39.985,42.837,37.823,40.853,56461676
2018-09-30,40.853,41.956,38.316,41.53,62240774
2018-10-31,41.53,42.063,37.174,38.655,48906659
2018-11-30,39.033,41.104,35.732,39.604,53573313
2018-12-31,40.253,40.62,37.193,38.21,40606638
2019-01-31,38.239,40.611,37.658,38.249,77173360
2019-02-28,38.336,39.149,36.593,36.826,37394156
2019-03-31,37.145,38.433,36.419,37.348,40400336
2019-04-30,37.648,39.352,37.339,37.987,35600920
2019-05-31,37.987,38.181,35.703,38.045,52215619
2019-06-30,37.881,42.111,37.803,41.453,54755218
2019-07-31,41.627,42.082,39.71,40.87,59507390
2019-08-31,40.61,40.95,36.2,39.15,56814279
2019-09-30,39,41.82,38,39.32,56979004
2019-10-31,39.42,39.55,35.8,38.12,66646112
2019-11-30,38.47,39.98,36.02,36.14,46748189
2019-12-31,36.31,36.69,33.12,34.46,48098608
2020-01-31,34.9,35.87,33.79,34.21,50907572
2020-02-29,34,37.09,30.59,31.29,51749581
2020-03-31,32.33,33.78,20.3,22.62,93792351
2020-04-30,22.4,24.46,19.655,22.01,92235720
2020-05-31,21.69,24.8,20.36,22.3,73579161
2020-06-30,22.63,25.12,21.63,22.92,106263254
2020-07-31,22.82,24.85,21.66,21.75,52082142
2020-08-31,21.82,23.61,21.5,21.57,34075837
2020-09-30,21.7,22.24,19.9,21.21,60235371
2020-10-31,21.45,23.16,18.21,18.955,62040581
2020-11-30,19.18,28.35,18.97,26.4,100462984
2020-12-31,26.67,30.35,26.2,28.72,55952246
2021-01-31,28.72,33.68,28.03,28.88,54431987
2021-02-28,28.71,31.71,27.51,30.14,61048576
2021-03-31,30.4,33.2,30.12,32.73,60172130
2021-04-30,33,36.4,31.92,35.27,36019948
2021-05-31,35.48,41.25,33.03,40.67,75840886
2021-06-30,40.57,41.44,37.8,37.83,45290499
2021-07-31,38.02,38.86,36,37.84,24689500
2021-08-31,38.1,42.05,37.36,42.05,34397611
2021-09-30,42.05,44.19,40.91,42.24,41547271
2021-10-31,42.02,49.59,41.87,48.8,52787732
2021-11-30,48.99,50.36,41.27,43.75,47163091
2021-12-31,43.97,45.74,40.7,44.93,39695707
2022-01-31,45.16,50.44,44.93,47.64,57412008
2022-02-28,48.2,49.57,35.55,40.33,59674840
2022-03-31,40.35,41.75,31.05,39.84,139721351
2022-04-30,40.25,41.89,32.75,32.81,58042542
2022-05-31,32.67,33.1,27.95,30.44,48135577
